FID,straatnaam,huisnummer,huisletter,toevoeging,woonplaats,postcode,geom
inspireadressen.6103,De Doornweg,17,F,,Zwolle,8035PC,POINT (205768.887 506086.32649999997)
inspireadressen.6104,De Doornweg,17,J,,Zwolle,8035PC,POINT (205794.895 506067.146)
inspireadressen.6105,De Doornweg,17,M,,Zwolle,8035PC,POINT (205824.7992951021 506054.3910552796)
inspireadressen.6106,Burgemeester van Roijensingel,29,A,,Zwolle,8011CT,POINT (202624.18841016744 502748.0801973679)
inspireadressen.6107,Pannekoekendijk,10,,,Zwolle,8021EX,POINT (202635.76185382437 503346.6533902032)
inspireadressen.6108,Thorbeckegracht,119,,,Zwolle,8011VS,POINT (202813.30600000004 503211.955)
inspireadressen.6109,Schuttevaerkade,5,,,Zwolle,8021DB,POINT (202816.80280425653 503326.2106777373)
inspireadressen.6110,Schuttevaerkade,7,,,Zwolle,8021DB,POINT (202792.6825 503331.55850000004)
inspireadressen.6111,Harm Smeengekade,15,,,Zwolle,8011AK,POINT (202496.38242757847 502891.6960940062)
inspireadressen.6112,Katerdijk,7,,,Zwolle,8011BK,POINT (202417.89032514332 503309.18916931405)
inspireadressen.6113,Almelose Kanaal,75,A,,Zwolle,8012BX,POINT (203754.44904156605 502860.3027679532)
inspireadressen.6114,Almelose Kanaal,75,B,,Zwolle,8012BX,POINT (203759.10695380394 502856.8273048503)
inspireadressen.6115,Almelose Kanaal,75,C,,Zwolle,8012BX,POINT (203763.60405027098 502853.4736375697)
inspireadressen.6116,Almelose Kanaal,75,D,,Zwolle,8012BX,POINT (203768.22722810702 502850.0485356622)
inspireadressen.6117,Almelose Kanaal,55,A,,Zwolle,8011KS,POINT (203637.9623271847 502941.8960178376)
inspireadressen.6118,Almelose Kanaal,55,B,,Zwolle,8011KS,POINT (203643.24367280782 502938.5544821818)
inspireadressen.6119,Almelose Kanaal,55,C,,Zwolle,8011KS,POINT (203648.5253271922 502935.2125178182)
inspireadressen.6120,Almelose Kanaal,65,A,,Zwolle,8011KS,POINT (203699.03949999998 502900.1555)
inspireadressen.6121,Almelose Kanaal,65,B,,Zwolle,8011KS,POINT (203704.1235 502896.51999999996)
inspireadressen.6122,Almelose Kanaal,65,C,,Zwolle,8011KS,POINT (203709.20750000002 502892.885)
inspireadressen.6123,Zwarteweg,2,,5,Tolkamer,6916KC,POINT (203802.119 430348.91900000005)
inspireadressen.6124,Zwarteweg,2,,7,Tolkamer,6916KC,POINT (203850.82413833134 430254.7546975907)
inspireadressen.6125,Zwarteweg,2,,9,Tolkamer,6916KC,POINT (203834.28999999998 430243.3494999999)
inspireadressen.6126,Zwarteweg,2,,19,Tolkamer,6916KC,POINT (203725.46417158973 430168.26551986526)
inspireadressen.6127,Zwarteweg,2,,18,Tolkamer,6916KC,POINT (203734.99137410684 430174.822813652)
inspireadressen.6128,Zwarteweg,2,,17,Tolkamer,6916KC,POINT (203744.96695164073 430181.688670381)
inspireadressen.6129,Zwarteweg,2,,16,Tolkamer,6916KC,POINT (203754.9302157925 430188.546344633)
inspireadressen.6130,Zwarteweg,2,,14,Tolkamer,6916KC,POINT (203774.33495666872 430201.9021711911)
inspireadressen.6131,Zwarteweg,2,,11,Tolkamer,6916KC,POINT (203803.81236315274 430222.1908035089)
inspireadressen.6132,Zwarteweg,2,,10,Tolkamer,6916KC,POINT (203812.4534669403 430228.1381721001)
inspireadressen.6133,Zwarteweg,2,,20,Tolkamer,6916KC,POINT (203718.21784179623 430163.2775925585)
inspireadressen.6134,Zwarteweg,2,,21,Tolkamer,6916KC,POINT (203710.724 430158.11999999994)
inspireadressen.6135,Zwarteweg,2,,13,Tolkamer,6916KC,POINT (203784.2515 430208.7274999999)
inspireadressen.6136,Zwarteweg,2,,8,Tolkamer,6916KC,POINT (203842.01482795508 430248.67797349824)
inspireadressen.6137,Zwarteweg,2,,6,Tolkamer,6916KC,POINT (203808.0433208068 430338.2584531299)
inspireadressen.6138,Zwarteweg,2,,4,Tolkamer,6916KC,POINT (203796.1925 430359.58300000004)
inspireadressen.6139,Zwarteweg,2,,3,Tolkamer,6916KC,POINT (203790.266 430370.2470000001)
inspireadressen.6140,Zwarteweg,2,,2,Tolkamer,6916KC,POINT (203784.34004114135 430380.91082081036)
inspireadressen.6141,Zwarteweg,2,,1,Tolkamer,6916KC,POINT (203778.4135 430391.5745)
inspireadressen.6142,Zwarteweg,2,,15,Tolkamer,6916KC,POINT (203764.67282895284 430195.25198396575)
inspireadressen.6143,Europa-kade,1,,,Tolkamer,6916BG,POINT (204617.04625087083 429262.26668667264)
inspireadressen.6144,Europa-kade,3,,,Tolkamer,6916BG,POINT (204438.89028713742 429297.90352385363)
inspireadressen.6145,Bijland,1,a,,Tolkamer,6916KA,POINT (202729.07473334167 430692.3081660245)
inspireadressen.6146,Zwarteweg,2,,12,Tolkamer,6916KC,POINT (203794.40117051572 430215.7135131625)
inspireadressen.6147,Astreastraat,18,,,Tolkamer,6916BV,POINT (203497.44443351883 429729.8134070005)
inspireadressen.6148,Europa-kade,3,a,,Tolkamer,6916BG,POINT (204314.94017434007 429312.99213911674)
inspireadressen.6149,Meijnerswijk,10,,,Arnhem,6841HA,POINT (190080.815 443615.426)
inspireadressen.6150,Onderlangs,115,,,Arnhem,6812CH,POINT (189562.08755069162 444059.2415216267)
inspireadressen.6151,Haven van Coers,6,,,Arnhem,6841HH,POINT (190401.7172801743 443212.2503860243)
inspireadressen.6152,Haven van Coers,8,,,Arnhem,6841HH,POINT (190402.64094794396 443185.0248794147)
inspireadressen.6153,Haven van Coers,10,,,Arnhem,6841HH,POINT (190391.82473625563 443143.9854864757)
inspireadressen.6154,Haven van Coers,12,,,Arnhem,6841HH,POINT (190370.85644811805 443178.64697715914)
inspireadressen.6155,Haven van Coers,14,,,Arnhem,6841HH,POINT (190362.2846956272 443211.0194412061)
inspireadressen.6156,Rijnkade,162,,,Arnhem,6811HD,POINT (190715.00495236184 443283.5015202813)
inspireadressen.6157,Haven van Coers,16,,,Arnhem,6841HH,POINT (190352.1543269002 443248.5642137269)
inspireadressen.6158,Haven van Coers,3,,,Arnhem,6841HH,POINT (190379.44919812138 443255.0660469846)
inspireadressen.6159,Haven van Coers,9,,,Arnhem,6841HH,POINT (190404.41844253166 443153.6374176979)
inspireadressen.6160,Haven van Coers,11,,,Arnhem,6841HH,POINT (190375.85312003698 443160.98462844314)
inspireadressen.6161,Haven van Coers,15,,,Arnhem,6841HH,POINT (190357.40772925064 443229.1748998384)
inspireadressen.6162,Haven van Coers,17,,,Arnhem,6841HH,POINT (190343.06958627183 443271.89011773275)
inspireadressen.6163,Haven van Coers,19,,,Arnhem,6841HH,POINT (190323.45315465255 443289.92928613455)
inspireadressen.6164,Onderlangs,112,,,Arnhem,6812CH,POINT (189628.59953237037 444049.04466444557)
inspireadressen.6165,Onderlangs,111,,,Arnhem,6812CH,POINT (189652.7637745686 444046.16737433174)
inspireadressen.6166,Onderlangs,114,,,Arnhem,6812CH,POINT (189585.15520364093 444055.641086899)
inspireadressen.6167,Boterdijk,11,,,Arnhem,6812CZ,POINT (190050.19045485847 443798.1490732073)
inspireadressen.6168,Boterdijk,17,,,Arnhem,6812CZ,POINT (190019.59960782304 443845.135854325)
inspireadressen.6169,Boterdijk,25,,,Arnhem,6812CZ,POINT (189956.86363886792 443890.66222164046)
inspireadressen.6170,Boterdijk,21,,,Arnhem,6812CZ,POINT (189995.15541943564 443866.3334535117)
inspireadressen.6171,Boterdijk,5,,,Arnhem,6812CZ,POINT (190086.42749423426 443782.6121733585)
inspireadressen.6172,Boterdijk,31,,,Arnhem,6812CZ,POINT (189931.9074503486 443910.6523492672)
inspireadressen.6173,Boterdijk,13,,,Arnhem,6812CZ,POINT (190037.71723115336 443830.31323061313)
inspireadressen.6174,Westervoortsedijk,94,,,Arnhem,6827AW,POINT (191894.7656837141 442627.63052510895)
inspireadressen.6175,Westervoortsedijk,94,A,,Arnhem,6827AW,POINT (191892.48191165848 442618.6906996357)
inspireadressen.6176,Westervoortsedijk,90,,,Arnhem,6827AW,POINT (192209.491188532 442676.79908570775)
inspireadressen.6177,Westervoortsedijk,93,,,Arnhem,6827AW,POINT (192000.63388121777 442637.80310605624)
inspireadressen.6178,Rosandepolder,2,,,Arnhem,6812DR,POINT (187971.02917757077 443390.3414206966)
inspireadressen.6179,Rosandepolder,3,,,Arnhem,6812DR,POINT (187958.80491666254 443378.04364025086)
inspireadressen.6180,Rosandepolder,4,,,Arnhem,6812DR,POINT (187946.68205041823 443361.9742669)
inspireadressen.6181,Rosandepolder,5,,,Arnhem,6812DR,POINT (187934.23605884737 443345.57115671586)
inspireadressen.6182,Rosandepolder,6,,,Arnhem,6812DR,POINT (187926.28133015637 443332.96350867226)
inspireadressen.6183,Rosandepolder,7,,,Arnhem,6812DR,POINT (187917.5340451395 443320.0666365185)
inspireadressen.6184,Rosandepolder,8,,,Arnhem,6812DR,POINT (187907.5603784393 443303.3406856281)
inspireadressen.6185,Rosandepolder,9,,,Arnhem,6812DS,POINT (187899.909899005 443283.6734842289)
inspireadressen.6186,Rosandepolder,10,,,Arnhem,6812DS,POINT (187890.53286039818 443263.5255990602)
inspireadressen.6187,Onderlangs,113,,,Arnhem,6812CH,POINT (189607.31051671423 444051.84643136774)
inspireadressen.6188,Rosandepolder,11,,,Arnhem,6812DS,POINT (187891.59763611906 443242.88613199163)
inspireadressen.6189,Onderlangs,117,,,Arnhem,6812CJ,POINT (189522.5534788481 444062.02177292743)
inspireadressen.6190,Onderlangs,118,,,Arnhem,6812CJ,POINT (189501.57860160022 444062.2529874293)
inspireadressen.6191,Rosandepolder,12,,,Arnhem,6812DS,POINT (187903.0336284916 443220.5304537678)
inspireadressen.6192,Rosandepolder,13,,,Arnhem,6812DS,POINT (187902.56763099108 443192.8836068052)
inspireadressen.6193,Rosandepolder,14,,,Arnhem,6812DS,POINT (187894.12011903815 443168.60195829556)
inspireadressen.6194,Rosandepolder,38,,,Arnhem,6812DS,POINT (188056.25421206615 443176.0042023379)
inspireadressen.6195,Rosandepolder,39,,,Arnhem,6812DS,POINT (188077.91447560405 443191.6355461024)
inspireadressen.6196,Onderlangs,126,,,Arnhem,6812CJ,POINT (189339.2925099276 444047.2101211195)
inspireadressen.6197,Nieuwe Havenweg,26,,,Arnhem,6827BA,POINT (192788.424 442111.983)
inspireadressen.6198,Onderlangs,128,,,Arnhem,6812CJ,POINT (189307.69672768764 444042.2100929211)
inspireadressen.6199,Rosandepolder,40,,,Arnhem,6812DS,POINT (188104.8666805865 443209.9755947531)
inspireadressen.6200,Rosandepolder,41,,,Arnhem,6812DS,POINT (188126.6585396191 443232.782072906)
inspireadressen.6201,Rosandepolder,42,,,Arnhem,6812DS,POINT (188145.5074715648 443254.1145509724)
inspireadressen.6202,Rosandepolder,43,,,Arnhem,6812DS,POINT (188162.1950735569 443278.26802364987)
inspireadressen.6203,Rosandepolder,44,,,Arnhem,6812DS,POINT (188173.98414035642 443307.568523866)
inspireadressen.6204,Meijnerswijk,6,,,Arnhem,6841HA,POINT (190151.83755962647 443562.7806370021)
inspireadressen.6205,Onderlangs,100,,,Arnhem,6812CH,POINT (189882.72027978903 443947.20324932405)
inspireadressen.6206,Onderlangs,101,,,Arnhem,6812CH,POINT (189861.71493415054 443958.8271117706)
inspireadressen.6207,Onderlangs,102,,,Arnhem,6812CH,POINT (189842.0627820177 443969.70310741535)
inspireadressen.6208,Onderlangs,103,,,Arnhem,6812CH,POINT (189824.4413600308 443979.0616413674)
inspireadressen.6209,Onderlangs,105,,,Arnhem,6812CH,POINT (189789.13879152678 443995.9121992264)
inspireadressen.6210,Onderlangs,106,,,Arnhem,6812CH,POINT (189768.87463549775 444004.71449789515)
inspireadressen.6211,Onderlangs,107,,,Arnhem,6812CH,POINT (189751.49136449932 444012.4297725095)
inspireadressen.6212,Onderlangs,108,,,Arnhem,6812CH,POINT (189732.47799215023 444020.1397939273)
inspireadressen.6213,Onderlangs,110,,,Arnhem,6812CH,POINT (189691.0439899687 444038.2948790893)
inspireadressen.6214,Onderlangs,119,,,Arnhem,6812CJ,POINT (189482.35318924877 444061.86388174165)
inspireadressen.6215,Onderlangs,120,,,Arnhem,6812CJ,POINT (189464.0280414014 444061.3194699214)
inspireadressen.6216,Onderlangs,121,,,Arnhem,6812CJ,POINT (189444.6916611118 444059.3393678023)
inspireadressen.6217,Onderlangs,122,,,Arnhem,6812CJ,POINT (189411.45664155026 444058.89802176564)
inspireadressen.6218,Onderlangs,124,,,Arnhem,6812CJ,POINT (189373.03201864017 444052.85068444436)
inspireadressen.6219,Onderlangs,125,,,Arnhem,6812CJ,POINT (189354.3803253941 444049.6715815832)
inspireadressen.6220,Onderlangs,127,,,Arnhem,6812CJ,POINT (189324.4086253083 444044.91393594345)
inspireadressen.6221,Onderlangs,129,,,Arnhem,6812CJ,POINT (189289.5582353562 444038.7458020394)
inspireadressen.6222,Onderlangs,130,,,Arnhem,6812CJ,POINT (189265.22685085973 444033.6305035228)
inspireadressen.6223,Boterdijk,23,,,Arnhem,6812CZ,POINT (189989.47738330526 443858.6369382839)
inspireadressen.6224,Onderlangs,109,,,Arnhem,6812CH,POINT (189710.79456251382 444029.93903678114)
inspireadressen.6225,Rosandepolder,15,,,Arnhem,6812DS,POINT (187883.41246855332 443152.9857571893)
inspireadressen.6226,Westervoortsedijk,89,A,,Arnhem,6827AW,POINT (192286.24381346387 442687.3481112564)
inspireadressen.6227,Haven van Coers,13,,,Arnhem,6841HH,POINT (190366.80423223038 443193.87953414646)
inspireadressen.6228,Onderlangs,116,,,Arnhem,6812CJ,POINT (189541.06803771463 444061.1858868678)
inspireadressen.6229,Rosandepolder,1,,,Arnhem,6812DR,POINT (187990.1441637953 443403.2526303358)
inspireadressen.6230,Westervoortsedijk,89,B,,Arnhem,6827AW,POINT (192241.6785779514 442683.51870722434)
inspireadressen.6231,Onderlangs,123,,,Arnhem,6812CJ,POINT (189393.43061304386 444056.0594053932)
inspireadressen.6232,Onderlangs,104,,,Arnhem,6812CH,POINT (189808.17378144382 443987.0771896725)
inspireadressen.6233,Klingelbeekseweg,31,,,Arnhem,6812DE,POINT (188539.50501359883 443611.9029034784)
inspireadressen.6234,Klingelbeekseweg,33,,,Arnhem,6812DE,POINT (188502.19338275108 443620.6601455311)
inspireadressen.6235,Klingelbeekseweg,35,,,Arnhem,6812DE,POINT (188466.37194826506 443646.6421236398)
inspireadressen.6236,Haven van Coers,5,,,Arnhem,6841HH,POINT (190397.47327790258 443237.81069219986)
inspireadressen.6237,Westervoortsedijk,94,B,,Arnhem,6827AW,POINT (191853.19895320927 442632.9298823712)
inspireadressen.6238,Boterdijk,7,,,Arnhem,6812CZ,POINT (190059.66246438888 443812.59721118497)
inspireadressen.6239,Nieuwe Havenweg,24,,,Arnhem,6827BA,POINT (192772.78753619382 442142.7409229552)
inspireadressen.6240,Nieuwe Havenweg,32,,,Arnhem,6827BA,POINT (192820.99437883738 442044.9792601327)
inspireadressen.6241,Nieuwe Havenweg,34,,,Arnhem,6827BA,POINT (192832.444 442022.19299999997)
inspireadressen.6242,Nieuwe Havenweg,36,,,Arnhem,6827BA,POINT (192859.46354539567 441965.9450713756)
inspireadressen.6243,Nieuwe Havenweg,38,,,Arnhem,6827BA,POINT (192853.43340553925 441966.8862012589)
inspireadressen.6244,Nieuwe Havenweg,40,,,Arnhem,6827BA,POINT (192867.08280809267 441936.4935430665)
inspireadressen.6245,Nieuwe Havenweg,30,,,Arnhem,6827BA,POINT (192809.32054464312 442067.65561474697)
inspireadressen.6246,Nieuwe Havenweg,28,,,Arnhem,6827BA,POINT (192799.65759446076 442090.2047987411)
inspireadressen.6247,Westervoortsedijk,85,,,Arnhem,6827AW,POINT (192359.611 442668.11999999994)
inspireadressen.6248,Rosandepolder,37,,,Arnhem,6812DS,POINT (188044.4618603667 443152.5885280319)
inspireadressen.6249,Westervoortsedijk,92,,,Arnhem,6827AW,POINT (192110.37 442647.52300000004)
inspireadressen.6250,Westervoortsedijk,89,,,Arnhem,6827AW,POINT (192302.21719135053 442680.2109127448)
inspireadressen.6251,Nieuwe Havenweg,12,,,Arnhem,6827BA,POINT (192678.1539437501 442358.9324203454)
inspireadressen.6252,Nieuwe Havenweg,10,,,Arnhem,6827BA,POINT (192665.8665 442389.807)
inspireadressen.6253,Nieuwe Havenweg,14,,,Arnhem,6827BA,POINT (192691.57350771222 442322.4985755724)
inspireadressen.6254,Nieuwe Havenweg,84,,,Arnhem,6827BA,POINT (193017.71399999995 441478.8459999999)
inspireadressen.6255,Nieuwe Havenweg,34,A,,Arnhem,6827BA,POINT (192841.30099999998 441999.58400000003)
inspireadressen.6256,Nieuwe Havenweg,34,B,,Arnhem,6827BA,POINT (192848.32202056516 441985.26232136734)
inspireadressen.6257,Koppenberch,10,,,Doesburg,6982CZ,POINT (207525.24664266757 446221.58302524185)
inspireadressen.6258,Koppenberch,16,,,Doesburg,6982CZ,POINT (207587.6003327903 446190.5065006625)
inspireadressen.6259,Stokhorstweg,2,A,,Doetinchem,7006GA,POINT (216662.75763788374 442206.61950539204)
inspireadressen.6260,Vissershaven,7,,,Harderwijk,3846AG,POINT (171166.21915479994 484853.8231300502)
inspireadressen.6261,Vissershaven,2,,,Harderwijk,3846AG,POINT (171141.41251914698 484818.5117614836)
inspireadressen.6262,Vissershaven,3,,,Harderwijk,3846AG,POINT (171145.4857789267 484824.2684166426)
inspireadressen.6263,Vissershaven,5,,,Harderwijk,3846AG,POINT (171155.78699999998 484839.21200000006)
inspireadressen.6264,Vissershaven,8,,,Harderwijk,3846AG,POINT (171170.55264449475 484860.6317715398)
inspireadressen.6265,Marie Curiestraat,30,,MS,Harderwijk,3846BW,POINT (171665.03277344746 486150.7407608887)
inspireadressen.6266,Marie Curiestraat,32,,MS,Harderwijk,3846BW,POINT (171616.28195969228 486200.97330119874)
inspireadressen.6267,Eldensedijk,8,,,Arnhem,6841HK,POINT (190268.26690653164 443459.34222541994)
inspireadressen.6268,Meijnerswijk,12,,,Arnhem,6841HA,POINT (190051.98615872883 443638.4231006141)
inspireadressen.6269,Nieuwe Havenweg,90,,,Arnhem,6827BA,POINT (192903.23537659275 441603.39876116894)
inspireadressen.6270,Nieuwe Havenweg,92,,,Arnhem,6827BA,POINT (192877.13018362102 441657.4225679267)
inspireadressen.6271,Boterdijk,3,,,Arnhem,6812CZ,POINT (190117.38942973537 443759.8242942263)
inspireadressen.6272,Boterdijk,3,A,,Arnhem,6812CZ,POINT (190114.166 443756.4415)
inspireadressen.6273,Dijk,2,,,Ewijk,6644KB,POINT (179352.26 432516.237)
inspireadressen.6274,Eiland van Maurik,8,b,,Maurik,4021GG,POINT (157876.01111544424 442460.21803934267)
inspireadressen.6275,Eiland van Maurik,8,c,,Maurik,4021GG,POINT (157570.12088359415 442447.919073907)
inspireadressen.6276,Koppenberch,2,,,Doesburg,6982CZ,POINT (207439.69400000002 446264.6429999999)
inspireadressen.6277,Koppenberch,20,,,Doesburg,6982CZ,POINT (207641.5085 446166.90700000006)
inspireadressen.6278,Koppenberch,8,,,Doesburg,6982CZ,POINT (207502.68220360894 446232.4981325483)
inspireadressen.6279,Koppenberch,12,,,Doesburg,6982CZ,POINT (207545.47533425948 446212.23657463817)
inspireadressen.6280,Koppenberch,18,,,Doesburg,6982CZ,POINT (207611.4006835623 446179.35756203154)
inspireadressen.6281,Koppenberch,14,,,Doesburg,6982CZ,POINT (207564.93476019276 446202.02288368635)
inspireadressen.6282,Koppenberch,4,,,Doesburg,6982CZ,POINT (207462.3258912907 446253.9614524019)
inspireadressen.6283,Koppenberch,6,,,Doesburg,6982CZ,POINT (207481.81960809877 446243.81434984744)
inspireadressen.6284,Havendam,53,,,Harderwijk,3841AA,POINT (171078.4896877768 484942.367329218)
inspireadressen.6285,Hoenwaardsebrug,2,,,Hattem,8051EN,POINT (201555.5232936285 498768.7975740748)
inspireadressen.6286,De Steeg,6,,AB,Alem,5335LA,POINT (151681.8205 421322.7385)
inspireadressen.6287,Jan Klingenweg,3,,,Alem,5335JK,POINT (151509.7511501884 422437.4539061697)
inspireadressen.6288,Waalbandijk,179,,,Druten,6651KD,POINT (167063.6985233352 434672.906632803)
inspireadressen.6289,Waalbandijk,177,,,Druten,6651KD,POINT (167192.92307839607 434672.2876539915)
inspireadressen.6290,Sluis Sint Andries,8,,,Rossum,5328JJ,POINT (152925.2151365863 423107.8073292072)
inspireadressen.6291,Veerdam,2,,,Druten,6651KZ,POINT (169949.8054475843 434420.39081403834)
inspireadressen.6292,J.P. Broekhovenstraat,45,,,Elburg,8081HB,POINT (184480.17770927452 496743.9837298896)
inspireadressen.6293,Havenkade,44,,,Elburg,8081GR,POINT (185000.9889938186 496168.35201000323)
inspireadressen.6294,Havenkade,46,,,Elburg,8081GR,POINT (184984.46928777985 496186.14279781)
inspireadressen.6295,Rijksstraatweg,2,,,Buurmalsen,4197BC,POINT (148285.43190272717 433021.03195631754)
inspireadressen.6296,Lingedijk,89,,,Rhenoy,4152EA,POINT (139112.1465 432538.613)
inspireadressen.6297,Polderdijk,4,a,,Rumpt,4156JG,POINT (141552.61413024148 432222.4199769153)
inspireadressen.6298,Molendijk,16,,,Beesd,4153AV,POINT (142149.87898009736 432726.2683700464)
inspireadressen.6299,Vissershaven,1,,,Harderwijk,3846AG,POINT (171137.35628965756 484812.47535695403)
inspireadressen.6300,Vissershaven,4,,,Harderwijk,3846AG,POINT (171150.08238002422 484830.9359380885)
inspireadressen.6301,Vissershaven,6,,,Harderwijk,3846AG,POINT (171161.11399999997 484846.9394999999)
inspireadressen.6302,Jan Klingenweg,5,,,Alem,5335JK,POINT (151588.7476266212 422433.06653665163)
inspireadressen.6303,Maasdijk,16,,,Hedel,5321GP,POINT (146696.4513045984 417123.7673623819)
inspireadressen.6304,Molendijk,1,a,,Hedel,5321GG,POINT (146514.07607959627 416885.43484053254)
inspireadressen.6305,Veerstraat,21,,AB,Heerewaarden,6624BG,POINT (155694.755 425458.656)
inspireadressen.6306,Zandstraat,13,,AB,Kerkdriel,5331PG,POINT (152761.7241760277 419753.85620630987)
inspireadressen.6307,Zandstraat,3,,AB,Kerkdriel,5331PG,POINT (152283.455 419831.67049999995)
inspireadressen.6308,Zandstraat,5,,AB,Kerkdriel,5331PG,POINT (152317.88690916725 419829.94320032647)
inspireadressen.6309,Zandstraat,7,,AB,Kerkdriel,5331PG,POINT (152529.4784473806 419795.41977231554)
inspireadressen.6310,Maasweg,4,,,Rossum,5328JH,POINT (151884.5415 422843.7475)
inspireadressen.6311,Sluis Sint Andries,10,,,Rossum,5328JJ,POINT (152880.51950000002 423112.37249999994)
inspireadressen.6312,Sluis Sint Andries,12,,,Rossum,5328JJ,POINT (152766.19897297927 423137.5513140583)
inspireadressen.6313,Sluis Sint Andries,6,,,Rossum,5328JJ,POINT (152971.43749999997 423124.5384999999)
inspireadressen.6314,Oostkanaaldijk,307,,,Nijmegen,6541CE,POINT (184651.3704720207 428741.01372450823)
inspireadressen.6315,Waalhaven,1,J,,Nijmegen,6541AG,POINT (186978.83623536507 429296.0132068703)
inspireadressen.6316,Maasbandijk,1,,AB,Kerkdriel,5331KB,POINT (151875.74461685302 420813.46957279625)
inspireadressen.6317,Maasbandijk,1,a,752,Kerkdriel,5331KB,POINT (151713.73900000003 420929.7255)
inspireadressen.6318,Maasbandijk,1,a,702,Kerkdriel,5331KB,POINT (151591.87649999998 421023.3959999999)
inspireadressen.6319,Maasbandijk,1,a,712,Kerkdriel,5331KB,POINT (151622.494 420999.366)
inspireadressen.6320,Maasbandijk,1,a,720,Kerkdriel,5331KB,POINT (151653.09707871574 420968.7857714311)
inspireadressen.6321,Maasbandijk,1,a,722,Kerkdriel,5331KB,POINT (151661.04842859544 420966.5777759219)
inspireadressen.6322,Maasbandijk,1,a,766,Kerkdriel,5331KB,POINT (151739.52049999996 420908.1925)
inspireadressen.6323,Maasbandijk,1,a,708,Kerkdriel,5331KB,POINT (151612.25350000002 421004.5385)
inspireadressen.6324,Maasbandijk,1,a,716,Kerkdriel,5331KB,POINT (151629.87800000003 420989.5200000001)
inspireadressen.6325,Maasbandijk,1,a,724,Kerkdriel,5331KB,POINT (151665.75767605403 420961.65868899046)
inspireadressen.6326,Maasbandijk,1,a,750,Kerkdriel,5331KB,POINT (151709.46355290065 420934.1475651361)
inspireadressen.6327,Maasbandijk,1,a,726,Kerkdriel,5331KB,POINT (151673.18985592434 420962.8845154111)
inspireadressen.6328,Zandstraat,8,,,Kerkdriel,5331PG,POINT (152622.93186066046 419601.0844805816)
inspireadressen.6329,Loswal,1,,,Millingen aan de Rijn,6566CH,POINT (200314.08299999996 431437.7990000001)
inspireadressen.6330,Loswal,5,,,Millingen aan de Rijn,6566CH,POINT (200149.43239528264 431494.14424014644)
inspireadressen.6331,Rijndijk,7,,,Millingen aan de Rijn,6566CG,POINT (200963.379 431169.3455)
inspireadressen.6332,Edisonstraat,55,,WS,Nijkerk,3861NE,POINT (160889.62797872885 471852.99144899944)
inspireadressen.6333,Edisonstraat,53,,WS,Nijkerk,3861NE,POINT (160907.50222393742 471788.0512365597)
inspireadressen.6334,Edisonstraat,51,,WS,Nijkerk,3861NE,POINT (160915.82907489923 471758.19627655915)
inspireadressen.6335,Edisonstraat,49,,WS,Nijkerk,3861NE,POINT (160923.1858923139 471732.02865136066)
inspireadressen.6336,Edisonstraat,47,,WS,Nijkerk,3861NE,POINT (160929.8467574891 471708.23615360167)
inspireadressen.6337,Edisonstraat,45,,WS,Nijkerk,3861NE,POINT (160940.43598102516 471680.82321368274)
inspireadressen.6338,Edisonstraat,43,,WS,Nijkerk,3861NE,POINT (160964.98620165602 471646.2936138369)
inspireadressen.6339,Edisonstraat,41,,WS,Nijkerk,3861NE,POINT (160982.2105483294 471624.60812302935)
inspireadressen.6340,Hulckesteijn,2,,WS,Nijkerk,3861MZ,POINT (160341.38278638583 474457.05758839234)
inspireadressen.6341,Oostkanaaldijk,1,,,Nijmegen,6534AK,POINT (184580.9054523847 424485.8331794457)
inspireadressen.6342,Lindenberghaven,1,B,,Nijmegen,6511XT,POINT (188263.62649999998 429076.172)
inspireadressen.6343,Lindenberghaven,1,C,,Nijmegen,6511XT,POINT (188377.87949999998 429064.8400000001)
inspireadressen.6344,Havenweg,30,,,Nijmegen,6541AD,POINT (186880.1890079149 429456.622582308)
inspireadressen.6345,Havenweg,18,,,Nijmegen,6541AD,POINT (187046.38270756303 429361.3226182198)
inspireadressen.6346,Waalhaven,1,F,,Nijmegen,6541AG,POINT (186910.76557067272 429240.9947092321)
inspireadressen.6347,Waalhaven,1,L,,Nijmegen,6541AG,POINT (186962.53300000002 429274.89199999993)
inspireadressen.6348,Waalhaven,1,K,,Nijmegen,6541AG,POINT (186896.02299999996 429283.8889999999)
inspireadressen.6349,Waalhaven,1,C,,Nijmegen,6541AG,POINT (186906.04504397511 429292.1405506903)
inspireadressen.6350,Waalhaven,2,A,,Nijmegen,6541AG,POINT (186919.55149999997 429303.2585000001)
inspireadressen.6351,Waalhaven,1,U,,Nijmegen,6541AG,POINT (186951.68199999997 429270.871)
inspireadressen.6352,Waalhaven,1,V,,Nijmegen,6541AG,POINT (186923.36900000004 429306.40099999995)
inspireadressen.6353,Waalhaven,2,K,,Nijmegen,6541AG,POINT (186933.6296028266 429314.94127574906)
inspireadressen.6354,Waalhaven,1,D,,Nijmegen,6541AG,POINT (186937.9027464998 429317.6752356255)
inspireadressen.6355,Waalhaven,1,B,,Nijmegen,6541AG,POINT (186961.8090788467 429309.1577533583)
inspireadressen.6356,Waalhaven,1,H,,Nijmegen,6541AG,POINT (186995.71932817932 429282.9574775423)
inspireadressen.6357,Oversteeg,16,,,De Steeg,6994AT,POINT (201281.13219456704 447838.4114842749)
